[BATCH] 2 trace(s), bundle=C:\Users\kevin\OneDrive\¹®¼­\ChatGPT\MQsim\XML_result\gun_swans_MSRC2_paper_epoch_mu_20260828
[1/2] START proj_1.csv (1,305,533,029 bytes)
[HEARTBEAT] simulate proj_1.csv: 20s elapsed
[HEARTBEAT] simulate proj_1.csv: 40s elapsed
[HEARTBEAT] simulate proj_1.csv: 60s elapsed
[HEARTBEAT] simulate proj_1.csv: 80s elapsed
[HEARTBEAT] simulate proj_1.csv: 100s elapsed
[HEARTBEAT] simulate proj_1.csv: 120s elapsed
[HEARTBEAT] simulate proj_1.csv: 140s elapsed
[HEARTBEAT] simulate proj_1.csv: 160s elapsed
[HEARTBEAT] simulate proj_1.csv: 180s elapsed
[HEARTBEAT] simulate proj_1.csv: 200s elapsed
[HEARTBEAT] simulate proj_1.csv: 220s elapsed
[HEARTBEAT] simulate proj_1.csv: 240s elapsed
[HEARTBEAT] simulate proj_1.csv: 260s elapsed
[HEARTBEAT] simulate proj_1.csv: 280s elapsed
[HEARTBEAT] simulate proj_1.csv: 300s elapsed
[HEARTBEAT] simulate proj_1.csv: 320s elapsed
[HEARTBEAT] simulate proj_1.csv: 340s elapsed
[HEARTBEAT] simulate proj_1.csv: 360s elapsed
[HEARTBEAT] simulate proj_1.csv: 380s elapsed
[HEARTBEAT] simulate proj_1.csv: 400s elapsed
[HEARTBEAT] simulate proj_1.csv: 420s elapsed
[HEARTBEAT] simulate proj_1.csv: 440s elapsed
[HEARTBEAT] simulate proj_1.csv: 460s elapsed
[HEARTBEAT] simulate proj_1.csv: 480s elapsed
[HEARTBEAT] simulate proj_1.csv: 500s elapsed
[HEARTBEAT] simulate proj_1.csv: 520s elapsed
[HEARTBEAT] simulate proj_1.csv: 540s elapsed
[HEARTBEAT] simulate proj_1.csv: 560s elapsed
[HEARTBEAT] simulate proj_1.csv: 580s elapsed
[HEARTBEAT] simulate proj_1.csv: 600s elapsed
[HEARTBEAT] simulate proj_1.csv: 620s elapsed
[HEARTBEAT] simulate proj_1.csv: 640s elapsed
[HEARTBEAT] simulate proj_1.csv: 660s elapsed
[HEARTBEAT] simulate proj_1.csv: 680s elapsed
[HEARTBEAT] simulate proj_1.csv: 700s elapsed
[HEARTBEAT] simulate proj_1.csv: 720s elapsed
[HEARTBEAT] simulate proj_1.csv: 740s elapsed
[HEARTBEAT] simulate proj_1.csv: 760s elapsed
[HEARTBEAT] simulate proj_1.csv: 780s elapsed
[HEARTBEAT] simulate proj_1.csv: 800s elapsed
[HEARTBEAT] simulate proj_1.csv: 820s elapsed
[HEARTBEAT] simulate proj_1.csv: 840s elapsed
[HEARTBEAT] simulate proj_1.csv: 860s elapsed
[HEARTBEAT] simulate proj_1.csv: 880s elapsed
[HEARTBEAT] simulate proj_1.csv: 900s elapsed
[HEARTBEAT] simulate proj_1.csv: 920s elapsed
[HEARTBEAT] simulate proj_1.csv: 940s elapsed
[HEARTBEAT] simulate proj_1.csv: 960s elapsed
[HEARTBEAT] simulate proj_1.csv: 980s elapsed
[HEARTBEAT] simulate proj_1.csv: 1000s elapsed
[HEARTBEAT] simulate proj_1.csv: 1020s elapsed
[HEARTBEAT] simulate proj_1.csv: 1040s elapsed
[HEARTBEAT] simulate proj_1.csv: 1060s elapsed
[HEARTBEAT] simulate proj_1.csv: 1080s elapsed
[HEARTBEAT] simulate proj_1.csv: 1100s elapsed
[HEARTBEAT] simulate proj_1.csv: 1121s elapsed
[HEARTBEAT] simulate proj_1.csv: 1141s elapsed
[HEARTBEAT] simulate proj_1.csv: 1161s elapsed
[HEARTBEAT] simulate proj_1.csv: 1181s elapsed
[HEARTBEAT] simulate proj_1.csv: 1201s elapsed
[HEARTBEAT] simulate proj_1.csv: 1221s elapsed
[HEARTBEAT] simulate proj_1.csv: 1241s elapsed
[HEARTBEAT] simulate proj_1.csv: 1261s elapsed
[HEARTBEAT] simulate proj_1.csv: 1281s elapsed
[HEARTBEAT] simulate proj_1.csv: 1301s elapsed
[HEARTBEAT] simulate proj_1.csv: 1321s elapsed
[HEARTBEAT] simulate proj_1.csv: 1341s elapsed
[HEARTBEAT] simulate proj_1.csv: 1361s elapsed
[HEARTBEAT] simulate proj_1.csv: 1381s elapsed
[HEARTBEAT] simulate proj_1.csv: 1401s elapsed
[HEARTBEAT] simulate proj_1.csv: 1421s elapsed
[HEARTBEAT] simulate proj_1.csv: 1441s elapsed
[HEARTBEAT] simulate proj_1.csv: 1461s elapsed
[HEARTBEAT] simulate proj_1.csv: 1481s elapsed
[HEARTBEAT] simulate proj_1.csv: 1501s elapsed
[HEARTBEAT] simulate proj_1.csv: 1521s elapsed
[HEARTBEAT] simulate proj_1.csv: 1541s elapsed
[HEARTBEAT] simulate proj_1.csv: 1561s elapsed
[HEARTBEAT] simulate proj_1.csv: 1581s elapsed
[HEARTBEAT] simulate proj_1.csv: 1601s elapsed
[HEARTBEAT] simulate proj_1.csv: 1621s elapsed
[HEARTBEAT] simulate proj_1.csv: 1641s elapsed
[HEARTBEAT] simulate proj_1.csv: 1661s elapsed
[HEARTBEAT] simulate proj_1.csv: 1681s elapsed
[HEARTBEAT] simulate proj_1.csv: 1701s elapsed
[HEARTBEAT] simulate proj_1.csv: 1721s elapsed
[HEARTBEAT] simulate proj_1.csv: 1741s elapsed
[HEARTBEAT] simulate proj_1.csv: 1761s elapsed
[HEARTBEAT] simulate proj_1.csv: 1781s elapsed
[HEARTBEAT] simulate proj_1.csv: 1801s elapsed
[HEARTBEAT] simulate proj_1.csv: 1821s elapsed
[HEARTBEAT] simulate proj_1.csv: 1841s elapsed
[HEARTBEAT] simulate proj_1.csv: 1861s elapsed
[HEARTBEAT] simulate proj_1.csv: 1881s elapsed
[HEARTBEAT] simulate proj_1.csv: 1901s elapsed
[HEARTBEAT] simulate proj_1.csv: 1921s elapsed
[HEARTBEAT] simulate proj_1.csv: 1941s elapsed
[HEARTBEAT] simulate proj_1.csv: 1961s elapsed
[HEARTBEAT] simulate proj_1.csv: 1981s elapsed
[HEARTBEAT] simulate proj_1.csv: 2001s elapsed
[HEARTBEAT] simulate proj_1.csv: 2021s elapsed
[HEARTBEAT] simulate proj_1.csv: 2041s elapsed
[HEARTBEAT] simulate proj_1.csv: 2061s elapsed
[HEARTBEAT] simulate proj_1.csv: 2081s elapsed
[HEARTBEAT] simulate proj_1.csv: 2101s elapsed
[HEARTBEAT] simulate proj_1.csv: 2121s elapsed
[HEARTBEAT] simulate proj_1.csv: 2141s elapsed
[HEARTBEAT] simulate proj_1.csv: 2161s elapsed
[HEARTBEAT] simulate proj_1.csv: 2181s elapsed
[HEARTBEAT] simulate proj_1.csv: 2201s elapsed
[HEARTBEAT] simulate proj_1.csv: 2221s elapsed
[HEARTBEAT] simulate proj_1.csv: 2241s elapsed
[HEARTBEAT] simulate proj_1.csv: 2261s elapsed
[HEARTBEAT] simulate proj_1.csv: 2281s elapsed
[HEARTBEAT] simulate proj_1.csv: 2301s elapsed
[HEARTBEAT] simulate proj_1.csv: 2321s elapsed
[HEARTBEAT] simulate proj_1.csv: 2341s elapsed
[HEARTBEAT] simulate proj_1.csv: 2361s elapsed
[HEARTBEAT] simulate proj_1.csv: 2381s elapsed
[HEARTBEAT] simulate proj_1.csv: 2401s elapsed
[HEARTBEAT] simulate proj_1.csv: 2421s elapsed
[HEARTBEAT] simulate proj_1.csv: 2441s elapsed
[HEARTBEAT] simulate proj_1.csv: 2461s elapsed
[HEARTBEAT] simulate proj_1.csv: 2481s elapsed
[HEARTBEAT] simulate proj_1.csv: 2501s elapsed
[HEARTBEAT] simulate proj_1.csv: 2521s elapsed
[HEARTBEAT] simulate proj_1.csv: 2541s elapsed
[1/2] FAILED proj_1.csv: RuntimeError: MQSim failed with exit code 4294967295
[2/2] START usr_2.csv (574,047,026 bytes)
[2/2] SHA256 usr_2.csv
[HEARTBEAT] convert usr_2.csv: 20s elapsed
[HEARTBEAT] convert usr_2.csv: 40s elapsed
[HEARTBEAT] simulate usr_2.csv: 20s elapsed
[HEARTBEAT] simulate usr_2.csv: 40s elapsed
[HEARTBEAT] simulate usr_2.csv: 60s elapsed
